orderid,customerid,storeid,orderdate
5124,1652,60,7/27/2018
5125,1213,5,7/16/2018
5126,1118,38,3/31/2018
5127,1294,80,10/21/2017
5128,1012,16,2/2/2018
5129,1377,56,4/25/2018
5130,1736,35,5/26/2018
5131,1581,96,1/13/2018
5132,1406,78,4/10/2018
5133,1488,20,4/7/2018
5134,1625,10,1/13/2018
5135,1641,79,10/3/2017
5136,1233,45,12/23/2017
5137,1545,26,1/7/2018
5138,1174,67,5/22/2018
5139,1001,98,2/13/2018
5140,1612,58,10/27/2017
5141,1762,85,9/5/2018
5142,1158,6,1/16/2018
5143,1327,75,5/12/2018
5144,1890,2,11/4/2017
5145,1945,95,8/31/2018
5146,1835,92,4/6/2018
5147,1130,79,10/13/2017
5148,1084,15,3/15/2018
5149,1220,81,4/27/2018
5150,1956,52,12/18/2017
5151,1536,66,7/2/2018
5152,1212,49,1/3/2018
5153,1780,58,3/9/2018
5154,1777,9,7/25/2018
5155,1249,35,2/21/2018
5156,1308,78,2/13/2018
5157,1528,15,11/18/2017
5158,1772,43,6/5/2018
5159,1989,90,3/29/2018
5160,1258,55,12/18/2017
5161,1693,34,2/18/2018
5162,1430,46,7/17/2018
5163,1083,23,3/31/2018
5164,1799,29,7/20/2018
5165,1260,72,8/14/2018
5166,1235,30,1/2/2018
5167,1879,83,7/30/2018
5168,1930,66,11/20/2017
5169,1394,44,9/14/2017
5170,1427,48,4/4/2018
5171,1983,70,10/17/2017
5172,1585,19,2/6/2018
5173,1940,65,11/17/2017
5174,1923,31,7/13/2018
5175,1467,21,4/29/2018
5176,1449,37,7/25/2018
5177,1647,94,12/28/2017
5178,1004,48,7/14/2018
5179,1734,33,1/7/2018
5180,1952,78,3/6/2018
5181,1400,72,6/20/2018
5182,1519,39,8/19/2018
5183,1234,29,6/30/2018
5184,1709,14,5/1/2018
5185,1076,70,7/12/2018
5186,1622,33,2/9/2018
5187,1138,4,12/26/2017
5188,1210,88,4/4/2018
5189,1496,15,10/26/2017
5190,1769,65,10/12/2017
5191,1161,32,11/9/2017
5192,1518,33,2/26/2018
5193,1758,96,12/15/2017
5194,1779,33,10/25/2017
5195,1248,58,7/19/2018
5196,1317,45,2/16/2018
5197,1033,13,4/23/2018
5198,1739,87,2/13/2018
5199,1618,96,3/4/2018
5200,1875,82,6/13/2018
5201,1739,43,7/29/2018
5202,1059,66,12/4/2017
5203,1782,19,7/5/2018
5204,1481,4,8/30/2018
5205,1117,57,1/29/2018
5206,1694,100,1/29/2018
5207,1547,9,8/27/2018
5208,1395,54,7/29/2018
5209,1087,7,4/7/2018
5210,1883,60,6/17/2018
5211,1621,16,6/19/2018
5212,1374,73,8/15/2018
5213,1549,53,6/3/2018
5214,1574,2,7/23/2018
5215,1819,36,1/24/2018
5216,1427,80,2/9/2018
5217,1795,57,9/22/2017
5218,1916,2,6/14/2018
5219,1899,73,4/5/2018
5220,1599,90,1/28/2018
5221,1577,29,9/23/2017
5222,1680,49,11/13/2017
5223,1395,42,8/20/2018
5224,1573,19,11/6/2017
5225,1596,8,6/26/2018
5226,1894,61,6/28/2018
5227,1054,59,7/26/2018
5228,1806,36,5/27/2018
5229,1844,55,10/8/2017
5230,1290,52,11/22/2017
5231,1205,12,3/31/2018
5232,1652,72,4/9/2018
5233,1123,34,12/30/2017
5234,1882,47,4/17/2018
5235,1811,60,1/3/2018
5236,1295,20,12/20/2017
5237,1438,81,6/2/2018
5238,1311,20,10/4/2017
5239,1493,79,2/16/2018
5240,1955,7,10/27/2017
5241,1966,27,10/22/2017
5242,1865,90,7/26/2018
5243,1218,48,9/17/2017
5244,1003,8,11/4/2017
5245,1521,24,10/12/2017
5246,1077,100,11/23/2017
5247,1243,60,5/8/2018
5248,1731,80,12/16/2017
5249,1595,16,10/1/2017
5250,1698,29,5/31/2018
5251,1719,71,6/16/2018
5252,1279,76,2/18/2018
5253,1477,56,8/2/2018
5254,1937,93,5/12/2018
5255,1542,82,3/28/2018
5256,1064,55,3/28/2018
5257,1210,84,5/22/2018
5258,1836,87,3/24/2018
5259,1503,92,9/26/2017
5260,1075,35,8/8/2018
5261,1850,42,4/9/2018
5262,1915,30,6/20/2018
5263,1016,59,1/11/2018
5264,1377,59,3/20/2018
5265,1590,31,8/24/2018
5266,1356,21,11/30/2017
5267,1484,84,11/7/2017
5268,1763,37,11/25/2017
5269,1339,58,5/6/2018
5270,1644,17,10/18/2017
5271,1155,80,10/17/2017
5272,1531,16,3/2/2018
5273,1050,45,4/11/2018
5274,1053,60,12/20/2017
5275,1434,12,2/6/2018
5276,1330,24,8/22/2018
5277,1482,51,12/10/2017
5278,1327,32,5/27/2018
5279,1642,49,10/16/2017
5280,1810,58,11/5/2017
5281,1565,20,2/17/2018
5282,1219,9,7/21/2018
5283,1956,61,8/11/2018
5284,1273,15,12/1/2017
5285,1547,5,2/16/2018
5286,1516,20,7/1/2018
5287,1758,54,2/21/2018
5288,1790,88,12/26/2017
5289,1802,81,3/2/2018
5290,1986,12,5/13/2018
5291,1342,38,8/11/2018
5292,1262,80,8/12/2018
5293,1150,2,11/26/2017
5294,1392,32,7/27/2018
5295,1365,55,5/22/2018
5296,1251,78,7/4/2018
5297,1214,35,8/15/2018
5298,1801,24,6/14/2018
5299,1283,71,1/27/2018
5300,1135,94,5/8/2018
5301,1323,73,1/15/2018
5302,1910,63,11/3/2017
5303,1231,38,12/7/2017
5304,1327,47,1/4/2018
5305,1336,40,3/30/2018
5306,1916,84,3/13/2018
5307,1189,30,2/16/2018
5308,1432,9,9/3/2018
5309,1068,4,5/15/2018
5310,1945,34,7/25/2018
5311,1093,45,8/19/2018
5312,1424,39,10/28/2017
5313,1807,73,5/17/2018
5314,1174,61,8/14/2018
5315,1815,16,11/19/2017
5316,1552,79,12/26/2017
5317,1225,12,11/15/2017
5318,1178,81,2/27/2018
5319,1247,73,2/17/2018
5320,1860,21,6/15/2018
5321,1574,62,11/4/2017
5322,1564,2,2/23/2018
5323,1826,84,1/21/2018
5324,1504,58,7/15/2018
5325,1238,92,10/7/2017
5326,1977,62,9/20/2017
5327,1335,9,3/2/2018
5328,1351,19,10/6/2017
5329,1889,49,12/20/2017
5330,1783,42,5/12/2018
5331,1577,1,1/25/2018
5332,1805,30,8/3/2018
5333,1681,57,8/19/2018
5334,1753,5,7/7/2018
5335,1626,78,12/29/2017
5336,1789,94,12/12/2017
5337,1690,15,11/4/2017
5338,1158,33,1/22/2018
5339,1853,70,3/12/2018
5340,1091,50,1/9/2018
5341,1767,52,8/4/2018
5342,1258,38,1/8/2018
5343,1928,8,12/30/2017
5344,1843,40,8/26/2018
5345,1215,99,5/8/2018
5346,1888,33,6/27/2018
5347,1324,40,2/28/2018
5348,1475,35,11/28/2017
5349,1453,6,1/18/2018
5350,1114,68,3/30/2018
5351,1424,39,6/14/2018
5352,1449,99,12/2/2017
5353,1769,50,7/6/2018
5354,1375,32,8/13/2018
5355,1655,1,7/13/2018
5356,1714,45,8/10/2018
5357,1332,9,4/30/2018
5358,1817,6,6/23/2018
5359,1043,34,3/11/2018
5360,1965,64,4/28/2018
5361,1023,30,7/4/2018
5362,1517,67,5/18/2018
5363,1387,5,4/2/2018
5364,1652,26,10/22/2017
5365,1608,18,3/26/2018
5366,1820,88,7/13/2018
5367,1523,43,6/24/2018
5368,1633,1,4/6/2018
5369,1177,73,5/16/2018
5370,1584,89,10/20/2017
5371,1104,27,6/1/2018
5372,1870,24,4/9/2018
5373,1795,14,10/15/2017
5374,1378,32,7/20/2018
5375,1058,72,3/23/2018
5376,1668,47,7/2/2018
5377,1741,20,11/29/2017
5378,1120,56,12/16/2017
5379,1479,80,9/14/2017
5380,1711,55,4/22/2018
5381,1333,84,9/23/2017
5382,1844,1,12/1/2017
5383,1164,73,12/12/2017
5384,1309,61,8/28/2018
5385,1795,79,4/7/2018
5386,1065,47,5/9/2018
5387,1838,45,8/18/2018
5388,1975,66,5/27/2018
5389,1456,24,9/9/2018
5390,1113,75,10/24/2017
5391,1211,70,10/7/2017
5392,1329,4,7/13/2018
5393,1586,41,3/20/2018
5394,1300,90,6/18/2018
5395,1371,62,10/2/2017
5396,1338,80,8/8/2018
5397,1244,59,9/24/2017
5398,1464,93,6/2/2018
5399,1444,89,5/23/2018
5400,1622,27,3/31/2018
5401,1899,28,11/25/2017
5402,1972,94,10/25/2017
5403,1263,39,9/4/2018
5404,1358,56,9/22/2017
5405,1813,11,2/17/2018
5406,1897,90,3/25/2018
5407,1071,58,1/26/2018
5408,1951,91,10/24/2017
5409,1420,16,6/8/2018
5410,1370,3,3/19/2018
5411,1162,44,5/14/2018
5412,1907,40,3/28/2018
5413,1017,84,6/2/2018
5414,1832,97,4/30/2018
5415,1076,54,7/28/2018
5416,1013,2,10/13/2017
5417,1415,81,6/29/2018
5418,1776,12,10/30/2017
5419,1252,95,10/14/2017
5420,1223,41,5/9/2018
5421,1234,100,1/7/2018
5422,1399,8,9/7/2018
5423,1243,15,7/16/2018
5424,1129,99,8/13/2018
5425,1355,44,11/18/2017
5426,1872,44,8/28/2018
5427,1450,93,11/6/2017
5428,1995,89,7/19/2018
5429,1717,22,7/20/2018
5430,1539,78,5/2/2018
5431,1802,85,12/29/2017
5432,1157,51,9/3/2018
5433,1616,36,2/13/2018
5434,1440,82,9/18/2017
5435,1604,44,11/29/2017
5436,1559,55,12/8/2017
5437,1388,39,2/18/2018
5438,1926,53,4/26/2018
5439,1305,65,3/17/2018
5440,1902,31,6/23/2018
5441,1733,95,10/12/2017
5442,1927,90,9/5/2018
5443,1328,99,2/7/2018
5444,1546,27,8/4/2018
5445,1899,97,1/20/2018
5446,1161,10,11/9/2017
5447,1729,82,5/17/2018
5448,1851,36,2/10/2018
5449,1682,65,10/13/2017
5450,1835,76,12/7/2017
5451,1488,20,10/1/2017
5452,1508,61,4/5/2018
5453,1331,78,1/14/2018
5454,1505,73,12/27/2017
5455,1370,12,11/15/2017
5456,1862,57,7/1/2018
5457,1553,25,3/7/2018
5458,1615,72,9/5/2018
5459,1100,23,4/2/2018
5460,1968,58,5/25/2018
5461,1736,42,6/11/2018
5462,1198,30,2/28/2018
5463,1249,39,7/29/2018
5464,1995,19,9/25/2017
5465,1907,38,7/21/2018
5466,1289,51,7/31/2018
5467,1220,10,8/6/2018
5468,1641,71,12/27/2017
5469,1884,37,12/4/2017
5470,1337,3,8/5/2018
5471,1545,99,3/13/2018
5472,1798,29,6/20/2018
5473,1447,59,9/16/2017
5474,1021,74,3/29/2018
5475,1043,20,7/13/2018
5476,1919,58,7/2/2018
5477,1333,81,7/12/2018
5478,1167,52,1/18/2018
5479,1334,11,3/28/2018
5480,1315,57,4/2/2018
5481,1618,23,3/3/2018
5482,1667,18,12/26/2017
5483,1723,43,3/26/2018
5484,1365,14,9/22/2017
5485,1908,52,9/24/2017
5486,1933,83,10/27/2017
5487,1660,59,5/1/2018
5488,1589,1,6/8/2018
5489,1788,58,10/11/2017
5490,1410,33,3/23/2018
5491,1242,92,10/12/2017
5492,1596,60,8/2/2018
5493,1953,90,8/29/2018
5494,1939,3,7/29/2018
5495,1511,74,4/29/2018
5496,1883,34,8/23/2018
5497,1488,4,12/6/2017
5498,1016,2,8/13/2018
5499,1077,28,10/20/2017
5500,1013,62,6/5/2018
5501,1040,87,7/21/2018
5502,1711,86,6/17/2018
5503,1077,33,5/26/2018
5504,1293,71,2/17/2018
5505,1063,68,8/29/2018
5506,1434,67,8/21/2018
5507,1270,79,3/27/2018
5508,1565,46,4/3/2018
5509,1498,53,7/23/2018
5510,1946,75,3/15/2018
5511,1641,88,1/18/2018
5512,1362,69,8/8/2018
5513,1489,95,7/16/2018
5514,1313,82,11/24/2017
5515,1021,1,11/20/2017
5516,1393,23,2/11/2018
5517,1444,12,3/31/2018
5518,1922,74,3/7/2018
5519,1232,68,7/13/2018
5520,1297,50,10/18/2017
5521,1137,83,10/26/2017
5522,1048,75,4/9/2018
5523,1754,63,9/3/2018
5524,1465,76,10/28/2017
5525,1342,92,4/21/2018
5526,1336,33,2/18/2018
5527,1379,11,7/29/2018
5528,1576,61,3/20/2018
5529,1468,94,3/18/2018
5530,1056,94,8/9/2018
5531,1516,93,6/26/2018
5532,1828,69,6/29/2018
5533,1111,19,8/21/2018
5534,1694,59,6/18/2018
5535,1358,6,9/4/2018
5536,1151,14,7/13/2018
5537,1315,74,10/20/2017
5538,1615,33,8/14/2018
5539,1213,10,9/8/2018
5540,1727,63,11/18/2017
5541,1034,13,1/19/2018
5542,1821,94,7/7/2018
5543,1604,57,6/2/2018
5544,1053,47,3/27/2018
5545,1298,32,12/18/2017
5546,1776,33,8/21/2018
5547,1543,74,12/3/2017
5548,1135,35,7/22/2018
5549,1039,91,9/26/2017
5550,1540,38,4/10/2018
5551,1453,89,3/13/2018
5552,1501,60,1/2/2018
5553,1845,32,12/22/2017
5554,1400,26,10/14/2017
5555,1039,67,3/13/2018
5556,1032,75,6/28/2018
5557,1180,24,2/2/2018
5558,1263,15,1/28/2018
5559,1414,85,1/18/2018
5560,1203,27,1/1/2018
5561,1415,1,3/10/2018
5562,1363,6,6/29/2018
5563,1381,19,5/1/2018
5564,1590,57,12/18/2017
5565,1272,15,1/3/2018
5566,1017,52,3/22/2018
5567,1708,91,12/14/2017
5568,1120,84,5/12/2018
5569,1298,1,6/3/2018
5570,1066,78,1/13/2018
5571,1765,62,7/4/2018
5572,1471,93,9/27/2017
5573,1565,64,4/25/2018
5574,1530,91,1/2/2018
5575,1436,20,8/18/2018
5576,1286,35,1/27/2018
5577,1065,78,12/20/2017
5578,1294,28,6/15/2018
5579,1187,48,6/26/2018
5580,1289,66,10/24/2017
5581,1420,50,3/15/2018
5582,1435,70,4/17/2018
5583,1684,5,4/21/2018
5584,1371,43,3/14/2018
5585,1555,63,12/18/2017
5586,1152,16,6/12/2018
5587,1977,72,5/25/2018
5588,1269,41,10/31/2017
5589,1204,84,1/19/2018
5590,1935,71,6/19/2018
5591,1548,62,7/12/2018
5592,1453,95,9/29/2017
5593,1844,29,9/2/2018
5594,1182,55,4/22/2018
5595,1528,59,4/24/2018
5596,1813,89,3/12/2018
5597,1194,62,10/7/2017
5598,1785,79,1/21/2018
5599,1211,43,2/4/2018
5600,1223,58,6/17/2018
5601,1289,85,8/17/2018
5602,1207,47,9/28/2017
5603,1332,19,9/11/2017
5604,1025,59,11/28/2017
5605,1909,33,3/25/2018
5606,1554,99,6/18/2018
5607,1768,79,4/16/2018
5608,1411,36,6/22/2018
5609,1532,90,11/23/2017
5610,1043,53,12/8/2017
5611,1687,40,2/22/2018
5612,1375,7,3/1/2018
5613,1006,93,11/30/2017
5614,1377,89,7/14/2018
5615,1167,59,1/28/2018
5616,1179,9,12/18/2017
5617,1358,88,11/2/2017
5618,1624,37,2/4/2018
5619,1634,1,9/18/2017
5620,1331,2,4/19/2018
5621,1788,100,3/23/2018
5622,1378,47,6/6/2018
5623,1907,42,9/20/2017
5624,1634,98,5/29/2018
5625,1166,58,4/13/2018
5626,1043,15,10/31/2017
5627,1305,61,6/13/2018
5628,1381,6,4/18/2018
5629,1103,26,2/22/2018
5630,1296,74,4/8/2018
5631,1451,99,9/27/2017
5632,1891,47,5/4/2018
5633,1406,59,9/9/2018
5634,1704,72,3/14/2018
5635,1067,96,7/26/2018
5636,1441,39,11/9/2017
5637,1480,43,9/25/2017
5638,1991,54,1/25/2018
5639,1822,5,5/27/2018
5640,1733,54,10/18/2017
5641,1729,10,6/17/2018
5642,1149,76,3/17/2018
5643,1980,71,7/21/2018
5644,1744,1,8/22/2018
5645,1303,71,5/5/2018
5646,1117,11,2/24/2018
5647,1339,97,8/13/2018
5648,1651,84,4/15/2018
5649,1155,39,6/13/2018
5650,1691,5,3/22/2018
5651,1434,73,9/4/2018
5652,1343,24,2/18/2018
5653,1532,100,7/22/2018
5654,1586,87,6/10/2018
5655,1611,76,8/3/2018
5656,1958,22,11/27/2017
5657,1585,18,11/6/2017
5658,1107,15,9/12/2017
5659,1935,45,1/29/2018
5660,1595,39,8/14/2018
5661,1642,29,5/5/2018
5662,1903,38,9/4/2018
5663,1044,49,1/23/2018
5664,1551,2,12/26/2017
5665,1706,44,4/15/2018
5666,1864,16,6/19/2018
5667,1042,48,1/20/2018
5668,1222,75,8/20/2018
5669,1075,33,7/12/2018
5670,1581,10,5/14/2018
5671,1925,94,8/15/2018
5672,1702,20,10/8/2017
5673,1790,51,4/20/2018
5674,1857,25,8/17/2018
5675,1737,59,2/2/2018
5676,1817,100,10/8/2017
5677,1866,54,10/28/2017
5678,1869,84,10/11/2017
5679,1081,77,12/3/2017
5680,1195,17,12/20/2017
5681,1133,87,4/3/2018
5682,1319,14,7/2/2018
5683,1740,38,4/3/2018
5684,1340,51,10/22/2017
5685,1877,37,8/26/2018
5686,1377,16,11/22/2017
5687,1081,56,8/6/2018
5688,1888,12,2/25/2018
5689,1187,29,8/3/2018
5690,1236,49,11/6/2017
5691,1733,71,12/18/2017
5692,1008,78,7/30/2018
5693,1974,6,4/17/2018
5694,1431,30,5/11/2018
5695,1646,69,10/26/2017
5696,1182,82,3/13/2018
5697,1949,66,8/23/2018
5698,1386,45,9/22/2017
5699,1421,44,5/20/2018
5700,1910,81,1/23/2018
5701,1206,62,12/30/2017
5702,1228,3,5/14/2018
5703,1220,4,6/24/2018
5704,1497,36,5/24/2018
5705,1098,28,2/11/2018
5706,1639,83,6/6/2018
5707,1009,39,4/25/2018
5708,1366,24,12/23/2017
5709,1779,1,2/9/2018
5710,1838,76,1/31/2018
5711,1087,68,1/10/2018
5712,1138,61,4/5/2018
5713,1128,94,3/26/2018
5714,1530,29,10/16/2017
5715,1138,69,11/13/2017
5716,1115,98,4/3/2018
5717,1949,20,8/25/2018
5718,1908,52,5/1/2018
5719,1422,39,12/3/2017
5720,1845,73,12/9/2017
5721,1444,80,4/1/2018
5722,1968,71,1/11/2018
5723,1613,23,3/16/2018
5724,1563,63,11/11/2017
5725,1277,32,4/26/2018
5726,1255,83,12/14/2017
5727,1907,25,2/9/2018
5728,1050,62,6/24/2018
5729,1374,79,2/5/2018
5730,1057,68,10/9/2017
5731,1622,77,6/6/2018
5732,1536,78,9/24/2017
5733,1183,73,1/1/2018
5734,1045,84,4/3/2018
5735,1071,48,8/15/2018
5736,1579,88,1/9/2018
5737,1739,93,6/26/2018
5738,1932,77,2/24/2018
5739,1858,5,12/16/2017
5740,1980,84,9/18/2017
5741,1451,9,6/9/2018
5742,1604,72,12/30/2017
5743,1248,91,6/5/2018
5744,1819,37,2/12/2018
5745,1309,94,7/31/2018
5746,1646,10,3/24/2018
5747,1618,16,4/13/2018
5748,1688,42,2/27/2018
5749,1711,62,5/28/2018
5750,1370,40,8/17/2018
5751,1188,9,8/20/2018
5752,1645,34,12/11/2017
5753,1249,77,3/30/2018
5754,1070,46,2/28/2018
5755,1105,49,12/26/2017
5756,1399,75,7/27/2018
5757,1062,7,6/10/2018
5758,1418,32,2/15/2018
5759,1091,93,2/19/2018
5760,1201,64,10/9/2017
5761,1193,46,12/10/2017
5762,1595,11,12/8/2017
5763,1933,24,1/21/2018
5764,1146,43,6/30/2018
5765,1160,55,4/15/2018
5766,1667,38,8/16/2018
5767,1280,95,9/13/2017
5768,1943,34,8/1/2018
5769,1715,77,3/25/2018
5770,1425,76,4/9/2018
5771,1069,71,11/16/2017
5772,1950,54,12/11/2017
5773,1768,81,1/3/2018
5774,1086,95,11/19/2017
5775,1064,100,3/31/2018
5776,1692,67,6/17/2018
5777,1178,23,2/10/2018
5778,1953,82,6/8/2018
5779,1240,14,2/22/2018
5780,1818,2,2/6/2018
5781,1503,13,5/28/2018
5782,1381,11,1/8/2018
5783,1979,82,6/24/2018
5784,1833,68,5/5/2018
5785,1434,32,10/24/2017
5786,1056,55,10/29/2017
5787,1001,26,2/13/2018
5788,1872,82,1/29/2018
5789,1610,78,2/16/2018
5790,1984,20,5/6/2018
5791,1295,93,10/27/2017
5792,1810,21,10/16/2017
5793,1238,95,11/26/2017
5794,1690,86,8/7/2018
5795,1714,13,10/8/2017
5796,1522,99,7/11/2018
5797,1927,69,9/13/2017
5798,1727,5,5/16/2018
5799,1615,23,3/27/2018
5800,1727,45,6/20/2018
5801,1691,5,3/6/2018
5802,1780,74,10/12/2017
5803,1888,65,6/16/2018
5804,1933,4,2/10/2018
5805,1038,43,10/3/2017
5806,1073,38,7/23/2018
5807,1521,62,8/29/2018
5808,1329,67,9/29/2017
5809,1965,44,11/15/2017
5810,1222,85,11/7/2017
5811,1690,67,1/26/2018
5812,1682,45,10/15/2017
5813,1255,57,2/1/2018
5814,1699,100,11/22/2017
5815,1446,95,11/12/2017
5816,1558,50,5/19/2018
5817,1628,48,6/1/2018
5818,1018,11,1/13/2018
5819,1968,97,10/29/2017
5820,1306,78,2/2/2018
5821,1509,8,3/22/2018
5822,1623,51,1/15/2018
5823,1069,15,9/29/2017
5824,1318,25,11/2/2017
5825,1278,56,4/19/2018
5826,1957,77,5/30/2018
5827,1035,4,6/8/2018
5828,1123,35,11/21/2017
5829,1887,2,2/23/2018
5830,1526,85,3/1/2018
5831,1014,23,3/1/2018
5832,1730,65,8/27/2018
5833,1742,79,10/27/2017
5834,1314,43,4/4/2018
5835,1352,28,1/26/2018
5836,1733,2,7/25/2018
5837,1725,1,12/1/2017
5838,1845,65,4/22/2018
5839,1126,89,7/24/2018
5840,1388,85,12/31/2017
5841,1663,96,2/4/2018
5842,1509,12,10/6/2017
5843,1180,9,11/16/2017
5844,1707,54,5/28/2018
5845,1291,30,12/19/2017
5846,1676,81,4/3/2018
5847,1678,37,1/2/2018
5848,1710,32,6/15/2018
5849,1179,50,2/26/2018
5850,1704,53,11/28/2017
5851,1826,42,6/16/2018
5852,1568,56,4/18/2018
5853,1993,26,3/13/2018
5854,1310,26,11/18/2017
5855,1306,91,12/18/2017
5856,1409,1,7/27/2018
5857,1467,72,7/16/2018
5858,1147,98,9/16/2017
5859,1877,73,6/24/2018
5860,1486,59,9/8/2018
5861,1231,70,7/10/2018
5862,1096,13,8/11/2018
5863,1249,90,2/1/2018
5864,1737,49,10/6/2017
5865,1655,48,3/11/2018
5866,1025,20,5/29/2018
5867,1680,29,5/28/2018
5868,1453,34,7/10/2018
5869,1637,49,10/9/2017
5870,1781,72,10/14/2017
5871,1695,74,4/21/2018
5872,1716,56,9/13/2017
5873,1393,80,2/1/2018
5874,1366,54,12/6/2017
5875,1951,43,5/19/2018
5876,1836,60,8/19/2018
5877,1583,96,10/2/2017
5878,1143,47,12/25/2017
5879,1807,100,7/8/2018
5880,1337,12,7/8/2018
5881,1902,46,4/4/2018
5882,1089,1,8/1/2018
5883,1822,21,10/29/2017
5884,1786,88,11/21/2017
5885,1914,92,6/19/2018
5886,1639,53,2/3/2018
5887,1078,1,4/7/2018
5888,1315,75,1/29/2018
5889,1554,75,7/25/2018
5890,1108,76,6/14/2018
5891,1719,64,5/6/2018
5892,1323,62,10/10/2017
5893,1231,60,10/27/2017
5894,1499,56,8/24/2018
5895,1179,24,12/2/2017
5896,1552,86,11/10/2017
5897,1262,9,6/30/2018
5898,1872,81,8/4/2018
5899,1472,76,2/17/2018
5900,1793,1,3/12/2018
5901,1311,11,1/30/2018
5902,1933,3,7/25/2018
5903,1097,64,1/6/2018
5904,1534,26,10/2/2017
5905,1675,84,5/12/2018
5906,1624,4,10/4/2017
5907,1079,61,9/4/2018
5908,1543,96,1/1/2018
5909,1972,34,2/21/2018
5910,1155,85,12/22/2017
5911,1852,100,6/18/2018
5912,1610,42,9/5/2018
5913,1758,74,10/27/2017
5914,1095,80,12/24/2017
5915,1438,28,10/2/2017
5916,1990,40,11/14/2017
5917,1344,99,3/28/2018
5918,1092,2,7/21/2018
5919,1721,26,5/5/2018
5920,1383,29,6/6/2018
5921,1614,71,10/31/2017
5922,1797,7,3/15/2018
5923,1469,55,4/11/2018
5924,1463,66,8/21/2018
5925,1419,36,7/21/2018
5926,1463,45,10/7/2017
5927,1685,27,2/15/2018
5928,1050,3,2/6/2018
5929,1099,10,1/10/2018
5930,1534,33,12/10/2017
5931,1796,79,12/22/2017
