storeid,storename,street,city,state,zipcode,longitude,latitude
39,PivotalMarket,6 Pennsylvania Lane,San Francisco,California,94126,-122.7278,37.7848
40,PivotalMarket,1 Harper Crossing,San Francisco,California,94116,-122.4863,37.7441
41,PivotalMarket,08 1st Terrace,Orange,California,92668,-117.8742,33.7867
42,PivotalMarket,38885 Dahle Parkway,Torrance,California,90505,-118.3507,33.8106
43,PivotalMarket,7554 Fallview Street,Sacramento,California,95823,-121.4438,38.4797
44,PivotalMarket,5 Hudson Trail,Sacramento,California,95894,-121.4933,38.5816
45,PivotalMarket,8 Everett Point,Inglewood,California,90398,-118.2987,33.7866
46,PivotalMarket,53476 Dwight Terrace,Stockton,California,95205,-121.2624,37.9625
47,PivotalMarket,3558 Anderson Road,Van Nuys,California,91411,-118.4574,34.1781
48,PivotalMarket,87 Browning Lane,Long Beach,California,90840,-118.1157,33.7843
49,PivotalMarket,1 Eggendart Drive,San Diego,California,92121,-117.2035,32.8919
50,PivotalMarket,9 Eagan Junction,Sacramento,California,95828,-121.4006,38.4826
51,PivotalMarket,0902 Leroy Way,North Hollywood,California,91606,-118.3865,34.1872
52,PivotalMarket,193 Moland Street,Irvine,California,92717,-117.8398,33.6462
53,PivotalMarket,51 Northport Center,Stockton,California,95298,-121.2897,37.9577
54,PivotalMarket,6100 Fuller Court,Fresno,California,93715,-119.6397,36.7464
55,PivotalMarket,71 Sunbrook Court,Sacramento,California,94250,-121.4444,38.3774
56,PivotalMarket,997 Onsgard Place,Sacramento,California,94207,-121.4444,38.3774
57,PivotalMarket,84 Saint Paul Place,San Jose,California,95108,-121.8908,37.3378
58,PivotalMarket,29 Spaight Terrace,Burbank,California,91520,-118.348,34.1869
59,PivotalMarket,1827 Marcy Road,Sacramento,California,94273,-121.4444,38.3774
60,PivotalMarket,640 Northfield Park,Sacramento,California,95865,-121.3978,38.596
61,PivotalMarket,2904 Derek Parkway,Los Angeles,California,90101,-118.2987,33.7866
62,PivotalMarket,3550 Bashford Avenue,San Bernardino,California,92410,-117.2975,34.1069
63,PivotalMarket,245 Arrowood Pass,Orange,California,92862,-117.714,33.7915
64,PivotalMarket,02 Lindbergh Way,Berkeley,California,94705,-122.25,37.8571
65,PivotalMarket,2 Kensington Street,San Francisco,California,94164,-122.7278,37.7848
66,PivotalMarket,400 Lighthouse Bay Terrace,Los Angeles,California,90094,-118.417,33.9754
67,PivotalMarket,039 Clyde Gallagher Street,Berkeley,California,94705,-122.25,37.8571
68,PivotalMarket,59725 7th Road,Burbank,California,91520,-118.348,34.1869
69,PivotalMarket,3748 Knutson Circle,San Francisco,California,94177,-122.7278,37.7848
70,PivotalMarket,16 Holy Cross Hill,Sacramento,California,94280,-121.4444,38.3774
71,PivotalMarket,2486 Crescent Oaks Place,San Bernardino,California,92424,-115.9671,34.84
72,PivotalMarket,88477 Village Park,Visalia,California,93291,-119.301,36.3551
73,PivotalMarket,6 Vera Park,Fresno,California,93778,-119.6397,36.7464
74,PivotalMarket,44 Laurel Center,Berkeley,California,94712,-121.9215,37.6802
75,PivotalMarket,422 Barby Junction,Los Angeles,California,90101,-118.2987,33.7866
76,PivotalMarket,76 Caliangt Junction,Concord,California,94522,-121.9554,37.7772
77,PivotalMarket,69569 Bayside Parkway,Sacramento,California,95813,-121.4475,38.6026
78,PivotalMarket,9 Red Cloud Terrace,San Francisco,California,94142,-122.7278,37.7848
79,PivotalMarket,19 Helena Pass,Santa Ana,California,92725,-117.8662,33.7465
80,PivotalMarket,78073 Clarendon Terrace,Los Angeles,California,90076,-118.2987,33.7866
81,PivotalMarket,066 Toban Center,San Jose,California,95150,-121.897,37.3866
82,PivotalMarket,131 Iowa Park,Corona,California,92883,-117.474,33.7541
83,PivotalMarket,680 Autumn Leaf Pass,San Jose,California,95155,-121.9011,37.31
84,PivotalMarket,738 Donald Pass,Concord,California,94522,-121.9554,37.7772
85,PivotalMarket,6883 Drewry Trail,Huntington Beach,California,92648,-118.0051,33.6773
86,PivotalMarket,89 Jenna Center,Los Angeles,California,90020,-118.3022,34.0665
87,PivotalMarket,38804 Pankratz Place,Inglewood,California,90310,-118.2987,33.7866
88,PivotalMarket,9 Glendale Park,Santa Rosa,California,95405,-122.6727,38.4386
89,PivotalMarket,8 Scott Drive,San Francisco,California,94164,-122.7278,37.7848
90,PivotalMarket,15 Summit Way,Santa Barbara,California,93111,-119.8025,34.4453
91,PivotalMarket,1 Sutteridge Point,San Francisco,California,94142,-122.7278,37.7848
92,PivotalMarket,9301 Menomonie Terrace,Carlsbad,California,92013,-116.846,33.0169
93,PivotalMarket,50473 Melody Place,Orange,California,92668,-117.8742,33.7867
94,PivotalMarket,378 Boyd Point,San Luis Obispo,California,93407,-120.4553,35.3471
95,PivotalMarket,0 Derek Pass,San Francisco,California,94126,-122.7278,37.7848
96,PivotalMarket,41042 Badeau Parkway,Berkeley,California,94705,-122.25,37.8571
97,PivotalMarket,92 Springs Junction,Bakersfield,California,93386,-118.9052,35.2944
98,PivotalMarket,40 Vidon Alley,Simi Valley,California,93094,-119.1343,34.0324
99,PivotalMarket,293 Dixon Parkway,Anaheim,California,92812,-117.9286,33.817
100,PivotalMarket,03584 Arkansas Center,San Jose,California,95194,-121.8868,37.3894
