orderid,customerid,storeid,orderdate
4471,1602,39,12/29/2017
4472,1113,44,12/12/2017
4473,1488,34,1/20/2018
4474,1582,5,1/25/2018
4475,1683,62,12/8/2017
4476,1948,88,2/21/2018
4477,1731,86,4/15/2018
4478,1699,4,8/26/2018
4479,1581,70,11/14/2017
4480,1433,5,4/27/2018
4481,1056,35,5/25/2018
4482,1141,63,1/15/2018
4483,1945,80,9/9/2018
4484,1374,26,6/20/2018
4485,1578,89,12/25/2017
4486,1965,21,12/6/2017
4487,1727,90,2/28/2018
4488,1013,62,4/21/2018
4489,1465,75,8/31/2018
4490,1955,24,11/10/2017
4491,1519,3,10/14/2017
4492,1688,23,8/7/2018
4493,1492,60,11/19/2017
4494,1830,66,7/13/2018
4495,1151,72,7/19/2018
4496,1039,21,12/31/2017
4497,1014,55,11/8/2017
4498,1140,95,8/17/2018
4499,1567,32,1/31/2018
4500,1658,29,7/29/2018
4501,1066,39,5/8/2018
4502,1769,20,9/24/2017
4503,1554,86,3/14/2018
4504,1321,33,6/20/2018
4505,1114,44,7/30/2018
4506,1852,74,10/15/2017
4507,1158,63,4/26/2018
4508,1318,1,1/10/2018
4509,1887,35,12/31/2017
4510,1934,42,12/6/2017
4511,1215,45,7/18/2018
4512,1801,64,12/30/2017
4513,1883,61,11/10/2017
4514,1029,49,10/27/2017
4515,1883,87,9/28/2017
4516,1431,42,1/30/2018
4517,1736,81,2/20/2018
4518,1080,61,3/4/2018
4519,1950,92,5/14/2018
4520,1451,20,1/18/2018
4521,1092,68,5/30/2018
4522,1424,36,6/21/2018
4523,1200,6,9/5/2018
4524,1161,87,4/9/2018
4525,1488,62,4/1/2018
4526,1717,79,1/30/2018
4527,1583,6,4/25/2018
4528,1089,64,12/11/2017
4529,1275,25,5/27/2018
4530,1925,48,4/6/2018
4531,1144,77,8/7/2018
4532,1233,19,11/8/2017
4533,1101,98,12/15/2017
4534,1164,72,8/19/2018
4535,1111,97,12/16/2017
4536,1926,78,5/14/2018
4537,1989,52,2/9/2018
4538,1935,82,12/15/2017
4539,1013,10,3/21/2018
4540,1069,43,3/1/2018
4541,1015,35,7/29/2018
4542,1952,73,2/5/2018
4543,1501,8,10/13/2017
4544,1861,33,4/11/2018
4545,1148,17,3/23/2018
4546,1242,69,6/15/2018
4547,1544,43,12/17/2017
4548,1523,61,5/13/2018
4549,1691,70,5/30/2018
4550,1139,11,10/9/2017
4551,1725,89,12/12/2017
4552,1090,58,3/23/2018
4553,1598,36,8/16/2018
4554,1970,58,8/27/2018
4555,1927,68,9/1/2018
4556,1771,25,3/4/2018
4557,1404,76,5/18/2018
4558,1919,42,1/16/2018
4559,1411,58,3/10/2018
4560,1960,79,5/16/2018
4561,1636,75,3/14/2018
4562,1283,11,3/21/2018
4563,1662,51,2/11/2018
4564,1768,99,11/26/2017
4565,1219,59,9/30/2017
4566,1602,94,11/27/2017
4567,1967,36,8/31/2018
4568,1802,52,7/24/2018
4569,1052,55,5/5/2018
4570,1040,70,10/17/2017
4571,1163,98,12/1/2017
4572,1736,9,8/4/2018
4573,1858,57,1/28/2018
4574,1164,83,12/12/2017
4575,1029,30,4/16/2018
4576,1812,34,8/25/2018
4577,1626,93,9/7/2018
4578,1905,19,10/19/2017
4579,1021,91,1/4/2018
4580,1968,64,1/11/2018
4581,1094,3,8/12/2018
4582,1704,17,5/4/2018
4583,1564,31,12/29/2017
4584,1916,61,1/29/2018
4585,1535,65,9/21/2017
4586,1682,99,6/30/2018
4587,1887,54,10/16/2017
4588,1518,7,11/22/2017
4589,1738,50,12/24/2017
4590,1976,69,10/31/2017
4591,1833,82,11/29/2017
4592,1099,58,5/17/2018
4593,1630,46,2/15/2018
4594,1162,15,6/8/2018
4595,1395,85,7/6/2018
4596,1749,81,10/13/2017
4597,1338,95,7/7/2018
4598,1835,65,9/11/2017
4599,1987,25,8/5/2018
4600,1966,46,9/3/2018
4601,1289,52,1/11/2018
4602,1441,19,4/8/2018
4603,1749,50,6/24/2018
4604,1438,60,5/10/2018
4605,1214,56,7/10/2018
4606,1886,4,9/18/2017
4607,1168,13,8/22/2018
4608,1617,59,1/14/2018
4609,1724,100,11/18/2017
4610,1249,72,11/11/2017
4611,1409,15,6/5/2018
4612,1826,55,6/12/2018
4613,1396,95,12/30/2017
4614,1924,30,9/14/2017
4615,1024,73,7/29/2018
4616,1821,65,1/17/2018
4617,1308,61,9/23/2017
4618,1092,32,12/23/2017
4619,1467,36,1/2/2018
4620,1261,54,12/5/2017
4621,1532,98,4/2/2018
4622,1506,25,6/3/2018
4623,1184,85,11/1/2017
4624,1952,34,1/14/2018
4625,1566,81,7/22/2018
4626,1784,14,6/7/2018
4627,1445,41,10/29/2017
4628,1866,49,3/9/2018
4629,1927,38,4/20/2018
4630,1789,59,6/15/2018
4631,1459,39,10/4/2017
4632,1974,39,3/1/2018
4633,1567,33,3/28/2018
4634,1323,8,7/23/2018
4635,1471,20,4/10/2018
4636,1501,90,6/23/2018
4637,1095,74,8/24/2018
4638,1818,64,2/6/2018
4639,1201,60,8/6/2018
4640,1491,48,6/4/2018
4641,1283,55,8/12/2018
4642,1459,74,2/20/2018
4643,1705,18,11/7/2017
4644,1381,89,2/22/2018
4645,1198,80,5/19/2018
4646,1027,1,3/9/2018
4647,1398,92,9/9/2018
4648,1928,32,6/1/2018
4649,1368,5,12/16/2017
4650,1526,17,1/3/2018
4651,1840,48,6/30/2018
4652,1995,76,5/8/2018
4653,1295,34,5/6/2018
4654,1833,89,2/8/2018
4655,1387,53,5/3/2018
4656,1687,52,6/19/2018
4657,1124,38,7/13/2018
4658,1907,93,7/3/2018
4659,1634,14,6/7/2018
4660,1182,8,8/30/2018
4661,1794,62,1/15/2018
4662,1497,98,5/12/2018
4663,1573,24,10/6/2017
4664,1080,48,6/14/2018
4665,1910,3,8/11/2018
4666,1904,90,6/23/2018
4667,1818,6,10/23/2017
4668,1819,91,8/4/2018
4669,1635,23,3/18/2018
4670,1431,44,11/23/2017
4671,1426,49,11/26/2017
4672,1333,44,12/20/2017
4673,1662,69,6/1/2018
4674,1789,43,12/23/2017
4675,1039,99,10/23/2017
4676,1731,86,11/4/2017
4677,1506,65,11/8/2017
4678,1158,68,2/11/2018
4679,1449,11,11/8/2017
4680,1795,6,2/16/2018
4681,1566,31,10/17/2017
4682,1845,28,6/14/2018
4683,1627,11,6/9/2018
4684,1209,70,7/5/2018
4685,1871,68,4/3/2018
4686,1749,37,1/15/2018
4687,1831,75,4/28/2018
4688,1772,17,7/27/2018
4689,1039,30,12/2/2017
4690,1066,34,11/25/2017
4691,1139,37,2/3/2018
4692,1730,89,10/6/2017
4693,1540,99,5/9/2018
4694,1421,76,7/3/2018
4695,1334,23,5/5/2018
4696,1789,24,12/22/2017
4697,1845,86,8/20/2018
4698,1927,12,11/11/2017
4699,1283,15,3/15/2018
4700,1530,13,5/16/2018
4701,1855,48,10/31/2017
4702,1525,5,4/10/2018
4703,1391,64,2/2/2018
4704,1035,19,4/11/2018
4705,1954,73,3/8/2018
4706,1565,70,12/22/2017
4707,1609,18,12/2/2017
4708,1565,34,5/8/2018
4709,1627,38,1/26/2018
4710,1921,66,5/30/2018
4711,1309,68,1/13/2018
4712,1323,85,6/15/2018
4713,1591,26,12/9/2017
4714,1514,77,3/26/2018
4715,1170,51,12/6/2017
4716,1527,19,8/29/2018
4717,1956,34,11/17/2017
4718,1889,86,7/30/2018
4719,1601,24,3/3/2018
4720,1818,94,12/25/2017
4721,1882,41,2/3/2018
4722,1226,19,11/26/2017
4723,1273,36,8/22/2018
4724,1912,21,6/2/2018
4725,1882,37,6/23/2018
4726,1500,17,8/12/2018
4727,1427,57,2/17/2018
4728,1186,8,7/23/2018
4729,1594,31,12/6/2017
4730,1992,83,3/22/2018
4731,1529,3,10/11/2017
4732,1589,52,7/21/2018
4733,1348,7,8/21/2018
4734,1179,80,8/10/2018
4735,1574,74,7/9/2018
4736,1052,41,10/22/2017
4737,1320,96,11/6/2017
4738,1267,96,7/11/2018
4739,1736,42,6/25/2018
4740,1142,23,2/13/2018
4741,1460,46,9/18/2017
4742,1665,64,2/1/2018
4743,1038,85,1/17/2018
4744,1798,5,11/18/2017
4745,1662,44,2/28/2018
4746,1568,98,3/23/2018
4747,1278,62,4/12/2018
4748,1224,82,1/7/2018
4749,1269,40,2/12/2018
4750,1656,44,3/9/2018
4751,1827,46,9/26/2017
4752,1449,26,9/16/2017
4753,1419,87,4/8/2018
4754,1167,66,11/15/2017
4755,1323,100,5/5/2018
4756,1771,30,4/12/2018
4757,1178,68,2/25/2018
4758,1903,84,4/6/2018
4759,1323,9,4/25/2018
4760,1871,54,11/11/2017
4761,1841,70,9/6/2018
4762,1760,81,2/10/2018
4763,1067,55,5/30/2018
4764,1802,45,12/18/2017
4765,1687,96,7/24/2018
4766,1031,60,4/18/2018
4767,1974,15,8/8/2018
4768,1775,5,2/7/2018
4769,1961,86,2/25/2018
4770,1437,60,12/23/2017
4771,1667,79,11/3/2017
4772,1782,34,6/25/2018
4773,1309,91,9/18/2017
4774,1898,55,5/9/2018
4775,1389,79,3/12/2018
4776,1512,20,8/14/2018
4777,1632,35,12/19/2017
4778,1552,31,1/25/2018
4779,1456,18,9/30/2017
4780,1067,50,8/14/2018
4781,1233,16,8/7/2018
4782,1776,24,5/5/2018
4783,1717,33,2/5/2018
4784,1450,95,10/20/2017
4785,1097,54,4/17/2018
4786,1165,30,3/22/2018
4787,1105,78,2/6/2018
4788,1128,64,3/28/2018
4789,1024,83,10/18/2017
4790,1768,42,1/7/2018
4791,1630,40,10/5/2017
4792,1462,65,6/19/2018
4793,1374,27,2/3/2018
4794,1408,66,4/28/2018
4795,1157,23,3/27/2018
4796,1448,46,10/30/2017
4797,1476,15,4/1/2018
4798,1069,18,4/25/2018
4799,1052,4,6/10/2018
4800,1436,23,4/30/2018
4801,1263,37,6/1/2018
4802,1097,14,8/11/2018
4803,1345,22,4/14/2018
4804,1972,42,6/5/2018
4805,1475,72,9/16/2017
4806,1828,30,11/15/2017
4807,1013,24,9/9/2018
4808,1809,78,11/2/2017
4809,1129,26,8/1/2018
4810,1618,50,4/3/2018
4811,1715,89,11/6/2017
4812,1326,83,5/9/2018
4813,1309,23,11/23/2017
4814,1391,87,8/14/2018
4815,1396,4,8/15/2018
4816,1701,35,1/7/2018
4817,1009,73,12/19/2017
4818,1189,61,10/24/2017
4819,1011,82,11/17/2017
4820,1276,67,8/22/2018
4821,1636,28,8/26/2018
4822,1420,56,2/8/2018
4823,1555,99,10/10/2017
4824,1728,5,12/20/2017
4825,1893,86,2/14/2018
4826,1930,20,9/17/2017
4827,1127,30,1/10/2018
4828,1164,1,9/14/2017
4829,1579,15,7/3/2018
4830,1733,66,3/21/2018
4831,1409,24,9/29/2017
4832,1014,15,1/6/2018
4833,1948,3,12/5/2017
4834,1402,17,10/15/2017
4835,1853,5,7/13/2018
4836,1460,12,6/3/2018
4837,1713,62,8/21/2018
4838,1362,10,8/13/2018
4839,1891,15,2/16/2018
4840,1742,11,1/19/2018
4841,1994,56,12/7/2017
4842,1492,35,10/7/2017
4843,1157,52,4/22/2018
4844,1155,63,4/11/2018
4845,1892,81,5/27/2018
4846,1235,28,12/11/2017
4847,1762,97,3/19/2018
4848,1818,95,10/27/2017
4849,1640,63,6/15/2018
4850,1085,27,3/2/2018
4851,1648,89,5/4/2018
4852,1257,25,3/30/2018
4853,1800,66,6/3/2018
4854,1957,69,2/27/2018
4855,1828,75,8/16/2018
4856,1580,36,5/12/2018
4857,1526,60,11/5/2017
4858,1291,39,3/25/2018
4859,1171,4,8/22/2018
4860,1955,67,11/22/2017
4861,1157,28,1/12/2018
4862,1292,18,12/1/2017
4863,1499,74,6/30/2018
4864,1541,17,6/5/2018
4865,1657,11,3/23/2018
4866,1120,20,5/18/2018
4867,1332,24,6/16/2018
4868,1120,5,1/20/2018
4869,1355,47,2/4/2018
4870,1308,85,1/8/2018
4871,1422,73,5/14/2018
4872,1492,7,11/8/2017
4873,1432,74,9/14/2017
4874,1380,76,2/4/2018
4875,1061,51,6/23/2018
4876,1041,32,8/9/2018
4877,1731,80,9/11/2017
4878,1149,26,11/18/2017
4879,1522,29,1/10/2018
4880,1565,30,5/1/2018
4881,1321,66,5/5/2018
4882,1815,30,6/7/2018
4883,1908,92,6/13/2018
4884,1723,80,11/30/2017
4885,1239,23,10/3/2017
4886,1811,21,3/19/2018
4887,1469,97,1/29/2018
4888,1218,92,7/21/2018
4889,1922,58,1/28/2018
4890,1635,89,2/3/2018
4891,1756,43,5/10/2018
4892,1983,51,11/19/2017
4893,1425,96,11/23/2017
4894,1446,17,3/21/2018
4895,1406,57,11/5/2017
4896,1945,21,12/16/2017
4897,1827,86,9/25/2017
4898,1235,96,9/29/2017
4899,1616,33,4/5/2018
4900,1658,80,1/5/2018
4901,1307,29,6/29/2018
4902,1630,67,7/26/2018
4903,1753,7,5/14/2018
4904,1493,17,11/20/2017
4905,1300,35,9/21/2017
4906,1047,19,2/22/2018
4907,1899,20,12/28/2017
4908,1734,50,3/15/2018
4909,1423,92,7/30/2018
4910,1597,57,3/25/2018
4911,1822,20,5/23/2018
4912,1809,14,2/24/2018
4913,1145,54,9/13/2017
4914,1659,32,6/15/2018
4915,1810,47,3/24/2018
4916,1818,67,12/7/2017
4917,1231,46,12/31/2017
4918,1415,38,5/11/2018
4919,1570,83,12/6/2017
4920,1594,32,11/22/2017
4921,1011,98,4/20/2018
4922,1288,50,11/21/2017
4923,1062,44,1/21/2018
4924,1201,2,4/30/2018
4925,1441,79,10/26/2017
4926,1894,66,5/7/2018
4927,1498,98,7/7/2018
4928,1436,79,1/4/2018
4929,1111,23,1/13/2018
4930,1999,7,11/3/2017
4931,1676,78,9/18/2017
