itemid, orderid,productid,quantity,productname
48 , 4 , 71 , 1.0 , Mr Peanut Peanut Butter
49 , 4 , 44 , 1.0 , ground beef
50 , 4 , 13 , 1.0 , pink grapefruit
51 , 4 , 46 , 1.0 , Clucker Farms Organic Chicken
52 , 4 , 12 , 1.0 , fennel
53 , 5 , 63 , 1.0 , Mom's extra frosting birthday cake
54 , 5 , 77 , 1.0 , Pivotal Baked Beans
55 , 5 , 46 , 1.0 , Clucker Farms Organic Chicken
56 , 5 , 43 , 1.0 , T-bone steak
57 , 5 , 60 , 1.0 , Organic Whole Wheat Bread
58 , 5 , 41 , 1.0 , 12 inch Dinner Plates
59 , 5 , 3 , 1.0 , Chateau Potomac Water
60 , 5 , 49 , 1.0 , Leg of lamb
61 , 5 , 62 , 1.0 , Donut King 6 pack
62 , 5 , 15 , 1.0 , Meyer Lemons
63 , 5 , 35 , 1.0 , Maine Wild Blueberries
64 , 5 , 46 , 1.0 , Clucker Farms Organic Chicken
65 , 5 , 71 , 1.0 , Mr Peanut Peanut Butter
66 , 5 , 62 , 1.0 , Donut King 6 pack
67 , 5 , 9 , 1.0 , Kirby cukes
68 , 5 , 16 , 1.0 , Honeydew
69 , 5 , 74 , 1.0 , Happy Valley Green Beans
70 , 6 , 42 , 1.0 , Floral Print Napkins
71 , 6 , 23 , 1.0 , red top turnip
72 , 6 , 69 , 1.0 , Ball Park Mustard
73 , 6 , 31 , 1.0 , Free Range Extra Large
74 , 6 , 62 , 1.0 , Donut King 6 pack
75 , 6 , 20 , 1.0 , quince ?
76 , 6 , 20 , 1.0 , quince ?
77 , 6 , 56 , 1.0 , Mom's Potato Salad
78 , 6 , 19 , 1.0 , dole pineapple
79 , 6 , 15 , 1.0 , Meyer Lemons
80 , 6 , 22 , 1.0 , triple wahsed spinach
81 , 6 , 4 , 1.0 , PBR
82 , 7 , 50 , 1.0 , Kosher salami
83 , 7 , 67 , 1.0 , Mom's Old Fashioned Mayo
84 , 7 , 60 , 1.0 , Organic Whole Wheat Bread
85 , 7 , 56 , 1.0 , Mom's Potato Salad
86 , 7 , 71 , 1.0 , Mr Peanut Peanut Butter
87 , 7 , 31 , 1.0 , Free Range Extra Large
88 , 7 , 14 , 1.0 , horseradish
89 , 7 , 73 , 1.0 , Happy Valley Sweet Corn
90 , 7 , 60 , 1.0 , Organic Whole Wheat Bread
91 , 7 , 61 , 1.0 , Brooklyn Bagel 6 pack
92 , 7 , 75 , 1.0 , Happy Valley Diced Tomatoes
93 , 7 , 69 , 1.0 , Ball Park Mustard
94 , 7 , 44 , 1.0 , ground beef
95 , 7 , 53 , 1.0 , Old Zurich Swiss Cheese
96 , 8 , 37 , 1.0 , Uggo Waffles
97 , 8 , 4 , 1.0 , PBR
98 , 8 , 14 , 1.0 , horseradish
99 , 8 , 32 , 1.0 , Vermot Extra Sharp Cheddar
100 , 8 , 39 , 1.0 , Pivotal Soft and Smooth 24 pack
101 , 8 , 58 , 1.0 , Wonder Bread
102 , 8 , 46 , 1.0 , Clucker Farms Organic Chicken
103 , 8 , 7 , 1.0 , pink lady
104 , 8 , 79 , 1.0 , Devil's Delight Blazing Hot Sauasage
105 , 8 , 32 , 1.0 , Vermot Extra Sharp Cheddar
106 , 8 , 21 , 1.0 , black radish
107 , 9 , 20 , 1.0 , quince ?
108 , 9 , 68 , 1.0 , Heinz Ketchup Quart Bottle
109 , 9 , 66 , 1.0 , Old Italy Olive Oil
110 , 9 , 23 , 1.0 , red top turnip
111 , 9 , 72 , 1.0 , K-Town Half Sour Pickles
112 , 10 , 58 , 1.0 , Wonder Bread
113 , 10 , 13 , 1.0 , pink grapefruit
114 , 10 , 18 , 1.0 , california navels
115 , 10 , 6 , 1.0 , Pivotal Smoothie
116 , 10 , 28 , 1.0 , Land O Lakes Butter
117 , 10 , 6 , 1.0 , Pivotal Smoothie
118 , 10 , 12 , 1.0 , fennel
119 , 10 , 27 , 1.0 , Pivotal Lo Fat Yoghurt
120 , 10 , 72 , 1.0 , K-Town Half Sour Pickles
121 , 10 , 58 , 1.0 , Wonder Bread
122 , 10 , 52 , 1.0 , Porky Pig Smoked Ham
123 , 11 , 40 , 1.0 , Husky Paper towels
124 , 11 , 50 , 1.0 , Kosher salami
125 , 11 , 42 , 1.0 , Floral Print Napkins
126 , 11 , 21 , 1.0 , black radish
127 , 11 , 46 , 1.0 , Clucker Farms Organic Chicken
128 , 12 , 35 , 1.0 , Maine Wild Blueberries
129 , 12 , 24 , 1.0 , seedless watermelon
130 , 12 , 56 , 1.0 , Mom's Potato Salad
131 , 12 , 21 , 1.0 , black radish
132 , 12 , 28 , 1.0 , Land O Lakes Butter
133 , 12 , 10 , 1.0 , dill
134 , 12 , 18 , 1.0 , california navels
135 , 12 , 74 , 1.0 , Happy Valley Green Beans
136 , 12 , 74 , 1.0 , Happy Valley Green Beans
137 , 12 , 6 , 1.0 , Pivotal Smoothie
138 , 12 , 44 , 1.0 , ground beef
139 , 12 , 71 , 1.0 , Mr Peanut Peanut Butter
140 , 12 , 58 , 1.0 , Wonder Bread
141 , 12 , 21 , 1.0 , black radish
142 , 12 , 56 , 1.0 , Mom's Potato Salad
143 , 12 , 49 , 1.0 , Leg of lamb
144 , 12 , 23 , 1.0 , red top turnip
145 , 12 , 62 , 1.0 , Donut King 6 pack
146 , 12 , 73 , 1.0 , Happy Valley Sweet Corn
147 , 12 , 64 , 1.0 , Ballpark Hot Dog Rolls
148 , 12 , 37 , 1.0 , Uggo Waffles
149 , 12 , 79 , 1.0 , Devil's Delight Blazing Hot Sauasage
150 , 12 , 71 , 1.0 , Mr Peanut Peanut Butter
151 , 12 , 42 , 1.0 , Floral Print Napkins
152 , 12 , 4 , 1.0 , PBR
153 , 13 , 7 , 1.0 , pink lady
154 , 13 , 16 , 1.0 , Honeydew
155 , 13 , 73 , 1.0 , Happy Valley Sweet Corn
156 , 13 , 5 , 1.0 , Boone Farms Swill
157 , 13 , 46 , 1.0 , Clucker Farms Organic Chicken
158 , 13 , 56 , 1.0 , Mom's Potato Salad
159 , 13 , 51 , 1.0 , Elmer's Roast Beef
160 , 13 , 74 , 1.0 , Happy Valley Green Beans
161 , 13 , 4 , 1.0 , PBR
162 , 13 , 4 , 1.0 , PBR
163 , 13 , 36 , 1.0 , Jasper's White Pizza
164 , 13 , 62 , 1.0 , Donut King 6 pack
165 , 13 , 63 , 1.0 , Mom's extra frosting birthday cake
166 , 14 , 25 , 1.0 , ugli fruit
167 , 14 , 55 , 1.0 , Mom's Cole Slaw
168 , 14 , 28 , 1.0 , Land O Lakes Butter
169 , 14 , 49 , 1.0 , Leg of lamb
170 , 14 , 13 , 1.0 , pink grapefruit
171 , 14 , 49 , 1.0 , Leg of lamb
172 , 14 , 77 , 1.0 , Pivotal Baked Beans
173 , 14 , 32 , 1.0 , Vermot Extra Sharp Cheddar
174 , 14 , 15 , 1.0 , Meyer Lemons
175 , 14 , 37 , 1.0 , Uggo Waffles
176 , 14 , 48 , 1.0 , Porky Pig Everloving Bacon
177 , 14 , 56 , 1.0 , Mom's Potato Salad
178 , 14 , 31 , 1.0 , Free Range Extra Large
179 , 14 , 56 , 1.0 , Mom's Potato Salad
180 , 14 , 65 , 1.0 , Mr Peanut Peanut Oil
181 , 14 , 57 , 1.0 , Mom's Deli Mustard
182 , 14 , 37 , 1.0 , Uggo Waffles
183 , 15 , 54 , 1.0 , Vermonter Mild Cheddar
184 , 15 , 60 , 1.0 , Organic Whole Wheat Bread
185 , 15 , 25 , 1.0 , ugli fruit
186 , 15 , 4 , 1.0 , PBR
187 , 15 , 42 , 1.0 , Floral Print Napkins
188 , 15 , 48 , 1.0 , Porky Pig Everloving Bacon
189 , 15 , 5 , 1.0 , Boone Farms Swill
190 , 15 , 78 , 1.0 , Jasper's Pizza Sauce
191 , 15 , 59 , 1.0 , Zabar's Old Fahsioned Rye
192 , 15 , 12 , 1.0 , fennel
193 , 15 , 8 , 1.0 , banana
194 , 15 , 23 , 1.0 , red top turnip
195 , 15 , 79 , 1.0 , Devil's Delight Blazing Hot Sauasage
196 , 15 , 60 , 1.0 , Organic Whole Wheat Bread
197 , 15 , 50 , 1.0 , Kosher salami
198 , 15 , 3 , 1.0 , Chateau Potomac Water
199 , 15 , 21 , 1.0 , black radish
200 , 16 , 2 , 1.0 , Ooopsi Cola
201 , 16 , 72 , 1.0 , K-Town Half Sour Pickles
202 , 16 , 63 , 1.0 , Mom's extra frosting birthday cake
203 , 16 , 25 , 1.0 , ugli fruit
204 , 16 , 20 , 1.0 , quince ?
205 , 16 , 26 , 1.0 , Pivotal 2% Milk
206 , 16 , 6 , 1.0 , Pivotal Smoothie
207 , 16 , 70 , 1.0 , Homer's Strawberry Jam
208 , 16 , 21 , 1.0 , black radish
209 , 16 , 61 , 1.0 , Brooklyn Bagel 6 pack
210 , 16 , 7 , 1.0 , pink lady
211 , 16 , 5 , 1.0 , Boone Farms Swill
212 , 16 , 34 , 1.0 , Pivotal Small Frozen Peas
213 , 16 , 53 , 1.0 , Old Zurich Swiss Cheese
214 , 16 , 81 , 1.0 , Pivotal Extra Stength Aspirin
215 , 16 , 54 , 1.0 , Vermonter Mild Cheddar
216 , 16 , 31 , 1.0 , Free Range Extra Large
217 , 17 , 72 , 1.0 , K-Town Half Sour Pickles
218 , 17 , 52 , 1.0 , Porky Pig Smoked Ham
219 , 17 , 20 , 1.0 , quince ?
220 , 17 , 60 , 1.0 , Organic Whole Wheat Bread
221 , 17 , 16 , 1.0 , Honeydew
222 , 17 , 20 , 1.0 , quince ?
223 , 17 , 72 , 1.0 , K-Town Half Sour Pickles
224 , 17 , 77 , 1.0 , Pivotal Baked Beans
225 , 17 , 65 , 1.0 , Mr Peanut Peanut Oil
226 , 17 , 55 , 1.0 , Mom's Cole Slaw
227 , 17 , 1 , 1.0 , Pivotal Apple Juice
228 , 17 , 52 , 1.0 , Porky Pig Smoked Ham
229 , 17 , 37 , 1.0 , Uggo Waffles
230 , 17 , 1 , 1.0 , Pivotal Apple Juice
231 , 17 , 68 , 1.0 , Heinz Ketchup Quart Bottle
232 , 17 , 9 , 1.0 , Kirby cukes
233 , 17 , 59 , 1.0 , Zabar's Old Fahsioned Rye
234 , 17 , 26 , 1.0 , Pivotal 2% Milk
235 , 17 , 23 , 1.0 , red top turnip
236 , 17 , 3 , 1.0 , Chateau Potomac Water
237 , 17 , 64 , 1.0 , Ballpark Hot Dog Rolls
238 , 17 , 8 , 1.0 , banana
239 , 17 , 19 , 1.0 , dole pineapple
240 , 17 , 66 , 1.0 , Old Italy Olive Oil
241 , 18 , 6 , 1.0 , Pivotal Smoothie
242 , 18 , 57 , 1.0 , Mom's Deli Mustard
243 , 18 , 80 , 1.0 , Pivotal Stomach Calmer
244 , 18 , 1 , 1.0 , Pivotal Apple Juice
245 , 18 , 10 , 1.0 , dill
246 , 18 , 39 , 1.0 , Pivotal Soft and Smooth 24 pack
247 , 18 , 43 , 1.0 , T-bone steak
248 , 18 , 78 , 1.0 , Jasper's Pizza Sauce
249 , 18 , 45 , 1.0 , Porky Pig Big Chops
250 , 18 , 18 , 1.0 , california navels
251 , 18 , 21 , 1.0 , black radish
252 , 18 , 75 , 1.0 , Happy Valley Diced Tomatoes
253 , 18 , 64 , 1.0 , Ballpark Hot Dog Rolls
254 , 18 , 16 , 1.0 , Honeydew
255 , 18 , 62 , 1.0 , Donut King 6 pack
256 , 18 , 43 , 1.0 , T-bone steak
257 , 18 , 45 , 1.0 , Porky Pig Big Chops
258 , 18 , 26 , 1.0 , Pivotal 2% Milk
259 , 18 , 78 , 1.0 , Jasper's Pizza Sauce
260 , 18 , 13 , 1.0 , pink grapefruit
261 , 18 , 27 , 1.0 , Pivotal Lo Fat Yoghurt
262 , 18 , 50 , 1.0 , Kosher salami
263 , 19 , 79 , 1.0 , Devil's Delight Blazing Hot Sauasage
264 , 19 , 39 , 1.0 , Pivotal Soft and Smooth 24 pack
265 , 19 , 72 , 1.0 , K-Town Half Sour Pickles
266 , 19 , 9 , 1.0 , Kirby cukes
267 , 19 , 54 , 1.0 , Vermonter Mild Cheddar
268 , 19 , 24 , 1.0 , seedless watermelon
269 , 19 , 24 , 1.0 , seedless watermelon
270 , 19 , 46 , 1.0 , Clucker Farms Organic Chicken
271 , 20 , 41 , 1.0 , 12 inch Dinner Plates
272 , 20 , 6 , 1.0 , Pivotal Smoothie
273 , 20 , 80 , 1.0 , Pivotal Stomach Calmer
274 , 20 , 41 , 1.0 , 12 inch Dinner Plates
275 , 20 , 44 , 1.0 , ground beef
276 , 20 , 70 , 1.0 , Homer's Strawberry Jam
277 , 20 , 58 , 1.0 , Wonder Bread
278 , 20 , 19 , 1.0 , dole pineapple
279 , 20 , 53 , 1.0 , Old Zurich Swiss Cheese
280 , 20 , 15 , 1.0 , Meyer Lemons
281 , 20 , 22 , 1.0 , triple wahsed spinach
282 , 20 , 30 , 1.0 , Pivotal 1/2 and 1/2
283 , 21 , 15 , 1.0 , Meyer Lemons
284 , 21 , 68 , 1.0 , Heinz Ketchup Quart Bottle
285 , 21 , 30 , 1.0 , Pivotal 1/2 and 1/2
286 , 21 , 32 , 1.0 , Vermot Extra Sharp Cheddar
287 , 21 , 42 , 1.0 , Floral Print Napkins
288 , 21 , 38 , 1.0 , Organic Vegetarian Sausage
289 , 21 , 52 , 1.0 , Porky Pig Smoked Ham
290 , 21 , 73 , 1.0 , Happy Valley Sweet Corn
291 , 21 , 33 , 1.0 , Ben and Jerry's Cherry Garcia
292 , 21 , 55 , 1.0 , Mom's Cole Slaw
293 , 21 , 33 , 1.0 , Ben and Jerry's Cherry Garcia
294 , 21 , 5 , 1.0 , Boone Farms Swill
295 , 21 , 13 , 1.0 , pink grapefruit
296 , 21 , 38 , 1.0 , Organic Vegetarian Sausage
297 , 21 , 35 , 1.0 , Maine Wild Blueberries
298 , 21 , 5 , 1.0 , Boone Farms Swill
299 , 21 , 67 , 1.0 , Mom's Old Fashioned Mayo
300 , 21 , 59 , 1.0 , Zabar's Old Fahsioned Rye
301 , 21 , 28 , 1.0 , Land O Lakes Butter
302 , 21 , 58 , 1.0 , Wonder Bread
303 , 21 , 40 , 1.0 , Husky Paper towels
304 , 22 , 26 , 1.0 , Pivotal 2% Milk
305 , 22 , 27 , 1.0 , Pivotal Lo Fat Yoghurt
306 , 22 , 6 , 1.0 , Pivotal Smoothie
307 , 22 , 71 , 1.0 , Mr Peanut Peanut Butter
308 , 22 , 49 , 1.0 , Leg of lamb
309 , 22 , 28 , 1.0 , Land O Lakes Butter
310 , 22 , 66 , 1.0 , Old Italy Olive Oil
311 , 22 , 31 , 1.0 , Free Range Extra Large
312 , 22 , 81 , 1.0 , Pivotal Extra Stength Aspirin
313 , 22 , 79 , 1.0 , Devil's Delight Blazing Hot Sauasage
314 , 22 , 77 , 1.0 , Pivotal Baked Beans
315 , 22 , 30 , 1.0 , Pivotal 1/2 and 1/2
316 , 22 , 8 , 1.0 , banana
317 , 22 , 14 , 1.0 , horseradish
318 , 23 , 65 , 1.0 , Mr Peanut Peanut Oil
319 , 23 , 2 , 1.0 , Ooopsi Cola
320 , 23 , 66 , 1.0 , Old Italy Olive Oil
321 , 23 , 50 , 1.0 , Kosher salami
322 , 23 , 10 , 1.0 , dill
323 , 23 , 51 , 1.0 , Elmer's Roast Beef
324 , 23 , 21 , 1.0 , black radish
325 , 23 , 50 , 1.0 , Kosher salami
326 , 23 , 44 , 1.0 , ground beef
327 , 23 , 26 , 1.0 , Pivotal 2% Milk
328 , 23 , 59 , 1.0 , Zabar's Old Fahsioned Rye
329 , 24 , 24 , 1.0 , seedless watermelon
330 , 24 , 19 , 1.0 , dole pineapple
331 , 24 , 17 , 1.0 , napa
332 , 24 , 67 , 1.0 , Mom's Old Fashioned Mayo
333 , 24 , 73 , 1.0 , Happy Valley Sweet Corn
334 , 24 , 37 , 1.0 , Uggo Waffles
335 , 24 , 74 , 1.0 , Happy Valley Green Beans
336 , 24 , 63 , 1.0 , Mom's extra frosting birthday cake
337 , 24 , 67 , 1.0 , Mom's Old Fashioned Mayo
338 , 24 , 30 , 1.0 , Pivotal 1/2 and 1/2
339 , 24 , 51 , 1.0 , Elmer's Roast Beef
340 , 24 , 58 , 1.0 , Wonder Bread
341 , 24 , 80 , 1.0 , Pivotal Stomach Calmer
342 , 24 , 19 , 1.0 , dole pineapple
343 , 24 , 38 , 1.0 , Organic Vegetarian Sausage
344 , 25 , 32 , 1.0 , Vermot Extra Sharp Cheddar
345 , 25 , 72 , 1.0 , K-Town Half Sour Pickles
346 , 25 , 56 , 1.0 , Mom's Potato Salad
347 , 25 , 15 , 1.0 , Meyer Lemons
348 , 25 , 30 , 1.0 , Pivotal 1/2 and 1/2
349 , 25 , 66 , 1.0 , Old Italy Olive Oil
350 , 25 , 49 , 1.0 , Leg of lamb
351 , 25 , 19 , 1.0 , dole pineapple
352 , 25 , 27 , 1.0 , Pivotal Lo Fat Yoghurt
353 , 25 , 20 , 1.0 , quince ?
354 , 25 , 2 , 1.0 , Ooopsi Cola
355 , 25 , 16 , 1.0 , Honeydew
356 , 25 , 31 , 1.0 , Free Range Extra Large
357 , 25 , 49 , 1.0 , Leg of lamb
358 , 25 , 73 , 1.0 , Happy Valley Sweet Corn
359 , 25 , 39 , 1.0 , Pivotal Soft and Smooth 24 pack
360 , 25 , 25 , 1.0 , ugli fruit
361 , 25 , 11 , 1.0 , white eggplant
362 , 25 , 46 , 1.0 , Clucker Farms Organic Chicken
363 , 25 , 70 , 1.0 , Homer's Strawberry Jam
364 , 26 , 73 , 1.0 , Happy Valley Sweet Corn
365 , 26 , 67 , 1.0 , Mom's Old Fashioned Mayo
366 , 26 , 18 , 1.0 , california navels
367 , 26 , 15 , 1.0 , Meyer Lemons
368 , 26 , 19 , 1.0 , dole pineapple
369 , 26 , 34 , 1.0 , Pivotal Small Frozen Peas
370 , 26 , 74 , 1.0 , Happy Valley Green Beans
371 , 26 , 44 , 1.0 , ground beef
372 , 26 , 9 , 1.0 , Kirby cukes
373 , 26 , 35 , 1.0 , Maine Wild Blueberries
374 , 26 , 12 , 1.0 , fennel
375 , 26 , 72 , 1.0 , K-Town Half Sour Pickles
376 , 26 , 51 , 1.0 , Elmer's Roast Beef
377 , 26 , 11 , 1.0 , white eggplant
378 , 26 , 59 , 1.0 , Zabar's Old Fahsioned Rye
379 , 26 , 80 , 1.0 , Pivotal Stomach Calmer
380 , 26 , 45 , 1.0 , Porky Pig Big Chops
381 , 27 , 29 , 1.0 , Breakstone Whole Milk Cottage Cheese 
382 , 27 , 45 , 1.0 , Porky Pig Big Chops
383 , 27 , 66 , 1.0 , Old Italy Olive Oil
384 , 27 , 82 , 1.0 , BabyBum Disposable Diapers
385 , 27 , 21 , 1.0 , black radish
386 , 27 , 39 , 1.0 , Pivotal Soft and Smooth 24 pack
387 , 27 , 15 , 1.0 , Meyer Lemons
388 , 27 , 5 , 1.0 , Boone Farms Swill
389 , 27 , 62 , 1.0 , Donut King 6 pack
390 , 27 , 4 , 1.0 , PBR
391 , 27 , 70 , 1.0 , Homer's Strawberry Jam
392 , 27 , 9 , 1.0 , Kirby cukes
393 , 27 , 13 , 1.0 , pink grapefruit
394 , 27 , 1 , 1.0 , Pivotal Apple Juice
395 , 27 , 68 , 1.0 , Heinz Ketchup Quart Bottle
396 , 28 , 33 , 1.0 , Ben and Jerry's Cherry Garcia
397 , 28 , 13 , 1.0 , pink grapefruit
398 , 28 , 9 , 1.0 , Kirby cukes
399 , 28 , 3 , 1.0 , Chateau Potomac Water
400 , 28 , 19 , 1.0 , dole pineapple
401 , 28 , 66 , 1.0 , Old Italy Olive Oil
402 , 28 , 43 , 1.0 , T-bone steak
403 , 28 , 17 , 1.0 , napa
404 , 28 , 70 , 1.0 , Homer's Strawberry Jam
405 , 28 , 80 , 1.0 , Pivotal Stomach Calmer
406 , 28 , 65 , 1.0 , Mr Peanut Peanut Oil
407 , 28 , 13 , 1.0 , pink grapefruit
408 , 28 , 65 , 1.0 , Mr Peanut Peanut Oil
409 , 29 , 22 , 1.0 , triple wahsed spinach
410 , 29 , 13 , 1.0 , pink grapefruit
411 , 29 , 38 , 1.0 , Organic Vegetarian Sausage
412 , 29 , 37 , 1.0 , Uggo Waffles
413 , 29 , 30 , 1.0 , Pivotal 1/2 and 1/2
414 , 29 , 6 , 1.0 , Pivotal Smoothie
415 , 29 , 81 , 1.0 , Pivotal Extra Stength Aspirin
416 , 29 , 66 , 1.0 , Old Italy Olive Oil
417 , 29 , 37 , 1.0 , Uggo Waffles
418 , 29 , 48 , 1.0 , Porky Pig Everloving Bacon
419 , 29 , 51 , 1.0 , Elmer's Roast Beef
420 , 29 , 44 , 1.0 , ground beef
421 , 29 , 25 , 1.0 , ugli fruit
422 , 29 , 16 , 1.0 , Honeydew
423 , 29 , 15 , 1.0 , Meyer Lemons
424 , 30 , 7 , 1.0 , pink lady
425 , 30 , 42 , 1.0 , Floral Print Napkins
426 , 30 , 27 , 1.0 , Pivotal Lo Fat Yoghurt
427 , 30 , 52 , 1.0 , Porky Pig Smoked Ham
428 , 30 , 39 , 1.0 , Pivotal Soft and Smooth 24 pack
429 , 30 , 27 , 1.0 , Pivotal Lo Fat Yoghurt
430 , 30 , 61 , 1.0 , Brooklyn Bagel 6 pack
431 , 30 , 21 , 1.0 , black radish
432 , 30 , 10 , 1.0 , dill
433 , 30 , 40 , 1.0 , Husky Paper towels
434 , 30 , 21 , 1.0 , black radish
435 , 30 , 79 , 1.0 , Devil's Delight Blazing Hot Sauasage
436 , 30 , 51 , 1.0 , Elmer's Roast Beef
437 , 30 , 28 , 1.0 , Land O Lakes Butter
438 , 30 , 66 , 1.0 , Old Italy Olive Oil
439 , 30 , 12 , 1.0 , fennel
440 , 30 , 13 , 1.0 , pink grapefruit
441 , 30 , 26 , 1.0 , Pivotal 2% Milk
442 , 30 , 62 , 1.0 , Donut King 6 pack
443 , 30 , 13 , 1.0 , pink grapefruit
444 , 30 , 69 , 1.0 , Ball Park Mustard
445 , 30 , 41 , 1.0 , 12 inch Dinner Plates
446 , 30 , 23 , 1.0 , red top turnip
447 , 30 , 43 , 1.0 , T-bone steak
448 , 31 , 17 , 1.0 , napa
449 , 31 , 3 , 1.0 , Chateau Potomac Water
450 , 31 , 29 , 1.0 , Breakstone Whole Milk Cottage Cheese 
451 , 31 , 62 , 1.0 , Donut King 6 pack
452 , 31 , 2 , 1.0 , Ooopsi Cola
453 , 31 , 17 , 1.0 , napa
454 , 31 , 4 , 1.0 , PBR
455 , 31 , 77 , 1.0 , Pivotal Baked Beans
456 , 31 , 23 , 1.0 , red top turnip
457 , 31 , 2 , 1.0 , Ooopsi Cola
458 , 31 , 30 , 1.0 , Pivotal 1/2 and 1/2
459 , 31 , 47 , 1.0 , Ball Park Franks
460 , 31 , 32 , 1.0 , Vermot Extra Sharp Cheddar
461 , 31 , 65 , 1.0 , Mr Peanut Peanut Oil
462 , 31 , 65 , 1.0 , Mr Peanut Peanut Oil
463 , 32 , 24 , 1.0 , seedless watermelon
464 , 32 , 54 , 1.0 , Vermonter Mild Cheddar
465 , 32 , 44 , 1.0 , ground beef
466 , 32 , 81 , 1.0 , Pivotal Extra Stength Aspirin
467 , 32 , 47 , 1.0 , Ball Park Franks
468 , 32 , 37 , 1.0 , Uggo Waffles
469 , 32 , 10 , 1.0 , dill
470 , 32 , 38 , 1.0 , Organic Vegetarian Sausage
471 , 32 , 50 , 1.0 , Kosher salami
472 , 32 , 30 , 1.0 , Pivotal 1/2 and 1/2
473 , 32 , 67 , 1.0 , Mom's Old Fashioned Mayo
474 , 32 , 10 , 1.0 , dill
475 , 32 , 3 , 1.0 , Chateau Potomac Water
476 , 32 , 58 , 1.0 , Wonder Bread
477 , 32 , 26 , 1.0 , Pivotal 2% Milk
478 , 32 , 48 , 1.0 , Porky Pig Everloving Bacon
479 , 33 , 56 , 1.0 , Mom's Potato Salad
480 , 33 , 76 , 1.0 , Happy Valley White Peaches
481 , 33 , 31 , 1.0 , Free Range Extra Large
482 , 33 , 37 , 1.0 , Uggo Waffles
483 , 33 , 15 , 1.0 , Meyer Lemons
484 , 33 , 12 , 1.0 , fennel
485 , 33 , 50 , 1.0 , Kosher salami
486 , 33 , 49 , 1.0 , Leg of lamb
487 , 33 , 4 , 1.0 , PBR
488 , 33 , 64 , 1.0 , Ballpark Hot Dog Rolls
489 , 33 , 23 , 1.0 , red top turnip
490 , 33 , 38 , 1.0 , Organic Vegetarian Sausage
491 , 33 , 71 , 1.0 , Mr Peanut Peanut Butter
492 , 34 , 30 , 1.0 , Pivotal 1/2 and 1/2
493 , 34 , 58 , 1.0 , Wonder Bread
494 , 34 , 49 , 1.0 , Leg of lamb
495 , 34 , 34 , 1.0 , Pivotal Small Frozen Peas
496 , 34 , 62 , 1.0 , Donut King 6 pack
497 , 34 , 57 , 1.0 , Mom's Deli Mustard
498 , 34 , 11 , 1.0 , white eggplant
499 , 34 , 28 , 1.0 , Land O Lakes Butter
500 , 34 , 13 , 1.0 , pink grapefruit
